Package,License,Application Compatibility Level
automake,GPL-2.0-or-later AND GPL-2.0-or-later WITH Autoconf-exception-generic AND GPL-3.0-or-later AND GPL-3.0-or-later WITH Autoconf-exception-generic-3.0 AND GPL-3.0-or-later WITH Texinfo-exception AND GFDL-1.3-or-later AND FSFAP AND FSFUL AND FSFULLR AND FSFULLRWD AND X11 AND LicenseRef-Fedora-Public-Domain,2
avahi-devel,LGPL-2.1-or-later AND LGPL-2.0-or-later AND BSD-2-Clause-Views AND MIT,4
avahi-glib,LGPL-2.1-or-later AND LGPL-2.0-or-later AND BSD-2-Clause-Views AND MIT,4
avahi-tools,LGPL-2.1-or-later AND LGPL-2.0-or-later AND BSD-2-Clause-Views AND MIT,4
awscli2,Apache-2.0 AND MIT,4
baobab,GPL-2.0-or-later AND CC-BY-SA-3.0 AND CC0-1.0,4
bash-color-prompt,GPL-2.0-or-later,2
bcc,Apache-2.0,4
bcc-tools,Apache-2.0,2
bcel,Apache-2.0,2
bind,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,2
bind-chroot,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,2
bind-dnssec-utils,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,2
bind-dyndb-ldap,GPLv2+,2
bind-libs,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,2
bind-license,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,2
bind-utils,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,2
binutils-devel,GPL-3.0-or-later AND (GPL-3.0-or-later WITH Bison-exception-2.2) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND BSD-3-Clause AND GFDL-1.3-or-later AND GPL-2.0-or-later AND LGPL-2.1-or-later AND LGPL-2.0-or-later,2
bison,GPL-3.0-or-later AND GPL-3.0-or-later WITH Autoconf-exception-generic-3.0 AND GPL-3.0-or-later WITH Bison-exception-2.2 AND GPL-2.0-or-later AND GPL-2.0-or-later WITH Autoconf-exception-generic AND LGPL-3.0-or-later AND LGPL-2.1-or-later AND LGPL-2.0-or-later AND FSFULLR AND GFDL-1.3-or-later AND X11,2
bison-runtime,GPL-3.0-or-later AND GPL-3.0-or-later WITH Autoconf-exception-generic-3.0 AND GPL-3.0-or-later WITH Bison-exception-2.2 AND GPL-2.0-or-later AND GPL-2.0-or-later WITH Autoconf-exception-generic AND LGPL-3.0-or-later AND LGPL-2.1-or-later AND LGPL-2.0-or-later AND FSFULLR AND GFDL-1.3-or-later AND X11,2
blas,BSD-3-Clause-Open-MPI,4
blivet-data,LGPL-2.1-or-later,2
blktrace,GPL-2.0-or-later,2
bluez-cups,GPL-2.0-or-later,2
bluez-obexd,GPL-2.0-or-later,2
bmc-snmp-proxy,BSD-3-Clause-No-Nuclear-Warranty,2
boom-boot,GPL-2.0-only,2
boom-boot-conf,GPL-2.0-only,2
boost,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-atomic,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-chrono,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-container,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-context,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-contract,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-coroutine,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-date-time,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-devel,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-fiber,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-filesystem,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-graph,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-iostreams,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-json,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-locale,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-log,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-math,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-nowide,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-numpy3,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-program-options,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-python3,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-random,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-regex,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-serialization,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-stacktrace,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-test,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-thread,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-timer,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-type_erasure,BSL-1.0 AND MIT AND Python-2.0.1,2
boost-wave,BSL-1.0 AND MIT AND Python-2.0.1,2
bootc,Apache-2.0 AND BSD-3-Clause AND MIT AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (Unlicense OR MIT),4
bootupd,Apache-2.0 AND (Apache-2.0 WITH LLVM-exception) AND BSD-3-Clause AND MIT AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (Unlicense OR MIT),2
bpftool,GPL-2.0-only OR BSD-2-Clause,4
bpftrace,Apache-2.0,2
brasero,GPL-3.0-or-later AND LGPL-2.0-or-later AND GPL-2.0-only AND CC-BY-SA-2.0 AND GPL-2.0-or-later WITH GStreamer-exception-2008,2
brasero-libs,GPL-3.0-or-later AND LGPL-2.0-or-later AND GPL-2.0-only AND CC-BY-SA-2.0 AND GPL-2.0-or-later WITH GStreamer-exception-2008,2
brlapi,LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later,2
brltty,LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later,2
brltty-at-spi2,LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later,2
brltty-docs,LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later,Not Applicable
brltty-dracut,LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later,2
brltty-espeak-ng,LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later,2
brltty-xw,LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later,2
brotli,MIT,4
brotli-devel,MIT,4
bsdtar,BSD-2-Clause AND FSFULLR AND GPL-2.0-or-later WITH Libtool-exception AND BSD-3-Clause AND FSFUL,4
bsf,Apache-2.0,2
buildah,Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0,3
buildah-tests,Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0,3
butane,Apache-2.0,Not Applicable
byacc,LicenseRef-Fedora-Public-Domain AND GPL-3.0-or-later WITH Autoconf-exception-generic-3.0 AND X11 AND X11-distribute-modifications-variant AND FSFUL,2
byte-buddy,Apache-2.0,2
byteman,LGPLv2+,4
byteman-bmunit,LGPLv2+,4
byteman-javadoc,LGPLv2+,4
bzip2-devel,BSD-4-Clause,2
c-ares-devel,MIT,2
c2esp,GPL-2.0-or-later,2
cairo,LGPL-2.1-only OR MPL-1.1,2
cairo-devel,LGPL-2.1-only OR MPL-1.1,2
cairo-gobject,LGPL-2.1-only OR MPL-1.1,2
cairo-gobject-devel,LGPL-2.1-only OR MPL-1.1,2
cairomm1.16,LGPL-2.0-or-later,2
capstone,BSD-3-Clause AND BSD-4-Clause AND APSL-2.0 AND NCSA AND MIT,4
cargo,(Apache-2.0 OR MIT) AND (Artistic-2.0 AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0 AND Unicode-DFS-2016),3
catatonit,GPL-3.0-or-later,2
cdi-api,Apache-2.0,2
cdrskin,GPL-2.0-or-later,2
cepces,GPL-3.0-or-later,2
cepces-certmonger,GPL-3.0-or-later,2
cepces-selinux,GPL-3.0-or-later,2
certmonger,GPL-3.0-or-later,2
chan,Apache-2.0,2
check,LGPL-2.1-or-later,2
check-devel,LGPL-2.1-or-later,2
check-static,LGPL-2.1-or-later,2
checkpolicy,GPL-2.0-or-later AND LGPL-2.1-or-later,2
cim-schema,LicenseRef-DMTF,2
cjose,MIT,4
clang,Apache-2.0 WITH LLVM-exception OR NCSA,3
clang-analyzer,Apache-2.0 WITH LLVM-exception OR NCSA OR MIT,3
clang-devel,Apache-2.0 WITH LLVM-exception OR NCSA,3
clang-libs,Apache-2.0 WITH LLVM-exception OR NCSA,3
clang-resource-filesystem,Apache-2.0 WITH LLVM-exception OR NCSA,3
clang-tools-extra,Apache-2.0 WITH LLVM-exception OR NCSA,3
cldr-emoji-annotation,Unicode-DFS-2016,4
cldr-emoji-annotation-dtd,Unicode-DFS-2016,4
clevis,GPL-3.0-or-later,2
clevis-dracut,GPL-3.0-or-later,2
clevis-luks,GPL-3.0-or-later,2
clevis-pin-pkcs11,GPL-3.0-or-later,2
clevis-pin-tpm2,MIT,Not Applicable
clevis-systemd,GPL-3.0-or-later,2
clevis-udisks2,GPL-3.0-or-later,2
clippy,(Apache-2.0 OR MIT) AND (Artistic-2.0 AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0 AND Unicode-DFS-2016),3
cloud-init,Apache-2.0 OR GPL-3.0-only,4
cloud-utils-growpart,GPL-3.0-only,2
cmake,BSD-3-Clause AND MIT-open-group AND Zlib AND Apache-2.0,3
cmake-data,BSD-3-Clause AND MIT-open-group AND Zlib AND Apache-2.0,3
cmake-doc,BSD-3-Clause AND MIT-open-group AND Zlib AND Apache-2.0,Not Applicable
cmake-filesystem,BSD-3-Clause AND MIT-open-group AND Zlib AND Apache-2.0,3
cmake-gui,BSD-3-Clause AND MIT-open-group AND Zlib AND Apache-2.0,3
cmake-rpm-macros,BSD-3-Clause AND MIT-open-group AND Zlib AND Apache-2.0,3
cockpit-files,LGPL-2.1-or-later,Not Applicable
cockpit-image-builder,Apache-2.0,2
cockpit-machines,LGPL-2.1-or-later AND MIT,Not Applicable
cockpit-ostree,LGPL-2.1-or-later,Not Applicable
cockpit-packagekit,LGPL-2.1-or-later,Not Applicable
cockpit-podman,LGPL-2.1-or-later,Not Applicable
cockpit-session-recording,LGPL-2.1-or-later,Not Applicable
cockpit-storaged,LGPL-2.1-or-later,Not Applicable
color-filesystem,LicenseRef-Not-Copyrightable,2
colord,GPL-2.0-or-later AND LGPL-2.1-or-later,4
colord-gtk,LGPL-2.1-or-later,4
colord-gtk4,LGPL-2.1-or-later,2
colord-libs,GPL-2.0-or-later AND LGPL-2.1-or-later,2
command-line-assistant,Apache-2.0,4
command-line-assistant-selinux,Apache-2.0,2
compiler-rt,Apache-2.0 WITH LLVM-exception OR NCSA OR MIT,3
composefs,LGPL-2.1-or-later AND (GPL-2.0-only OR Apache-2.0),2
composefs-libs,LGPL-2.1-or-later AND (GPL-2.0-only OR Apache-2.0),2
conmon,Apache-2.0,3
conntrack-tools,GPL-2.0-only,2
console-login-helper-messages,BSD-3-Clause,2
console-login-helper-messages-issuegen,BSD-3-Clause,2
console-login-helper-messages-motdgen,BSD-3-Clause,2
